CHEQUE_NO,USER1,USER2,VALUE_LETTERS,VALUE_NUMBERS,SIGNATURE_FILE,BANK_NAME,USER2NAME,valid
9185,28,12,Nine Thousand and Eighty Eight,9088,140.png,Universelle,Marcel Achen,1
9186,0,7,Five Thousand Seven Hundred and Fifty Eight,5758,2.png,Universelle,Hasna Bahiyaa Amari,1
9187,41,5,Seven Hundred,700,207.png,Universelle,Fawwaz Zuhayr Mustafa,1
9188,2,20,Five Thousand One Hundred and Twenty Five,5125,10.png,Universelle,Seymour Patenaude,1
9189,9,29,One Hundred and Seventy Four,174,45.png,Universelle,Hayden Bruce,1
9190,13,3,Eight Thousand Three Hundred and Fifty Five,8355,67.png,Universelle,Jiang Li Tao,1
9191,21,6,Seven Thousand Three Hundred and Twenty Eight,7328,107.png,Universelle,Abdul Qais Khouri,1
9192,3,17,Four Thousand and Seventy Five,4075,18.png,Universelle,Yolette Cloutier,1
9193,31,10,Two Thousand Two Hundred and Nine,2209,156.png,Universelle,Stephan Schwab,1
9194,30,28,Four Thousand One Hundred and Ninety Two,4192,154.png,Universelle,Chapin Auger,1
9195,20,12,Three Thousand Nine Hundred and Forty Five,3945,100.png,Universelle,Marcel Achen,1
9196,5,22,Five Thousand Six Hundred and Thirty Five,5635,28.png,Universelle,Eglantine Forest,1
9197,7,17,Nine Thousand Five Hundred and Ninety Seven,9597,39.png,Universelle,Yolette Cloutier,1
9198,5,34,Two Thousand One Hundred and Twenty One,2121,29.png,Universelle,Holly Martin,1
9199,16,35,Five Thousand Four Hundred and Sixty Six,5466,80.png,Universelle,Elliot Humphreys,1
9200,7,28,Four Thousand Six Hundred and Fifty One,4651,35.png,Universelle,Chapin Auger,1
9201,33,38,Eight Thousand One Hundred and Ninety Seven,8197,169.png,Universelle,Freddie Reid,1
9202,39,1,One Thousand Two Hundred and Thirty Two,1232,199.png,Universelle,Emily D. Short,1
9203,3,3,Four Thousand Three Hundred and Ninety Six,4396,15.png,Universelle,Jiang Li Tao,1
9204,17,15,Three Thousand Seven Hundred and Seventy Two,3772,88.png,Universelle,Milenko Tkalcic,1
9205,0,25,Three Thousand Five Hundred and Forty Three,3543,0.png,Universelle,Fleurette Coudert,1
9206,5,35,Four Thousand Nine Hundred and Thirty Five,4935,25.png,Universelle,Elliot Humphreys,1
9207,5,15,Four Thousand Two Hundred and Eighty Five,4285,26.png,Universelle,Milenko Tkalcic,1
9208,12,5,Eight Hundred and Sixty,860,61.png,Universelle,Fawwaz Zuhayr Mustafa,1
9209,7,1,Nine Thousand Nine Hundred and Five,9905,39.png,Universelle,Emily D. Short,1
9210,36,10,Three Thousand and Sixty Four,3064,184.png,Universelle,Stephan Schwab,1
9211,21,31,Seven Hundred and Sixty Seven,767,109.png,Universelle,Naomi Grant,1
9212,43,16,Three Thousand Three Hundred and Eighty Eight,3388,219.png,Universelle,Searlas Grenier,1
9213,38,13,Two Thousand Six Hundred and Seventy One,2671,192.png,Universelle,Petra Kovacic,1
9214,32,35,Five Thousand Seven Hundred and Ninety Eight,5798,161.png,Universelle,Elliot Humphreys,1
9215,34,5,One Thousand Six Hundred and Eighty Six,1686,171.png,Universelle,Fawwaz Zuhayr Mustafa,1
9216,10,30,Four Thousand Eight Hundred and Ninety,4890,53.png,Universelle,Jodie Holden,1
9217,42,21,Six Hundred and Seventy,670,213.png,Universelle,David Corbeil,1
9218,19,15,Three Thousand Nine Hundred and Sixty Five,3965,98.png,Universelle,Milenko Tkalcic,1
9219,24,9,Five Thousand Eight Hundred and Nine,5809,123.png,Universelle,Maria Kalb,1
9220,36,40,Eight Thousand Six Hundred and Ninety Seven,8697,180.png,Universelle,David Howard,1
9221,14,43,Five Thousand Eight Hundred and Forty Six,5846,73.png,Universelle,Aruna Bekx,1
9222,42,11,Six Thousand One Hundred and Sixty Three,6163,212.png,Universelle,Jens Egger,1
9223,10,39,Six Thousand Eight Hundred and Seventy Eight,6878,54.png,Universelle,Katie Connor,1
9224,28,3,Four Thousand and Forty One,4041,141.png,Universelle,Jiang Li Tao,1
9225,7,32,One Thousand Two Hundred and Forty Four,1244,39.png,Universelle,Chelsea Watson,1
9226,34,41,Two Thousand and Forty One,2041,173.png,Universelle,Germa de Geus,1
9227,1,18,Four Thousand Six Hundred and Eighty Seven,4687,5.png,Universelle,Edmee Pelletier,1
9228,20,24,Four Thousand Two Hundred and Seventy Nine,4279,102.png,Universelle,Clarice Blanc,1
9229,12,42,Four Thousand One Hundred and Fifty,4150,62.png,Universelle,Brady Jamin,1
9230,10,1,Two Thousand Six Hundred and Thirty Eight,2638,54.png,Universelle,Emily D. Short,1
9231,22,19,Seven Thousand One Hundred and Six,7106,114.png,Universelle,Françoise Lapierre,1
9232,1,6,Three Thousand Six Hundred and Seventy Nine,3679,6.png,Universelle,Abdul Qais Khouri,1
9233,42,14,Two Hundred and Sixty Four,264,213.png,Universelle,Renata Lukic,1
9234,17,36,Nine Thousand and Seventy Three,9073,85.png,Universelle,Thomas Chapman,1
9235,3,8,Two Thousand One Hundred and Forty Seven,2147,19.png,Universelle,Steffen Krueger,1
9236,29,10,One Thousand Nine Hundred and Fifty Seven,1957,148.png,Universelle,Stephan Schwab,1
9237,19,0,Five Thousand Eight Hundred and Forty Five,5845,96.png,Universelle,Ethel M. Bryson,1
9238,27,27,Nine Thousand Nine Hundred and Sixty Five,9965,138.png,Universelle,Colette Monjeau,1
9239,25,18,Three Thousand Six Hundred and Sixty Nine,3669,126.png,Universelle,Edmee Pelletier,1
9240,12,22,Three Thousand Five Hundred and Eighty Five,3585,61.png,Universelle,Eglantine Forest,1
9241,30,34,Eight Thousand Four Hundred and Ninety Two,8492,152.png,Universelle,Holly Martin,1
9242,34,0,One Thousand Nine Hundred and Sixty Two,1962,171.png,Universelle,Ethel M. Bryson,1
9243,27,25,Two Thousand One Hundred and Ninety One,2191,136.png,Universelle,Fleurette Coudert,1
9244,13,16,Two Thousand Two Hundred and Thirty Four,2234,67.png,Universelle,Searlas Grenier,1
9245,8,36,Five Hundred and Ninety,590,41.png,Universelle,Thomas Chapman,1
9246,2,28,Two Thousand One Hundred and Fifty Five,2155,11.png,Universelle,Chapin Auger,1
9247,32,1,Eighty Eight,88,161.png,Universelle,Emily D. Short,1
9248,19,40,Six Thousand Nine Hundred and Seventy Four,6974,97.png,Universelle,David Howard,1
9249,23,40,Three Thousand Nine Hundred and Ninety Eight,3998,118.png,Universelle,David Howard,1
9250,30,21,Three Thousand Four Hundred and Forty Eight,3448,154.png,Universelle,David Corbeil,1
9251,13,37,One Thousand Four Hundred and Ninety Three,1493,67.png,Universelle,Eva Davies,1
9252,33,31,Four Thousand Nine Hundred and Fifty,4950,167.png,Universelle,Naomi Grant,1
9253,27,13,Seven Thousand Five Hundred and Fifty Two,7552,136.png,Universelle,Petra Kovacic,1
9254,42,42,Six Thousand One Hundred and Thirty Two,6132,212.png,Universelle,Brady Jamin,1
9255,40,30,One Thousand and Forty Eight,1048,202.png,Universelle,Jodie Holden,1
9256,34,29,Nine Thousand and Sixteen,9016,174.png,Universelle,Hayden Bruce,1
9257,30,24,Four Thousand Four Hundred and Sixty Six,4466,151.png,Universelle,Clarice Blanc,1
9258,39,34,Six Thousand Five Hundred and Twenty Seven,6527,199.png,Universelle,Holly Martin,1
9259,20,40,One Thousand One Hundred and Eighty,1180,103.png,Universelle,David Howard,1
9260,24,39,Nine Thousand Three Hundred and Fifty Two,9352,121.png,Universelle,Katie Connor,1
9261,40,11,Two Thousand Four Hundred and Thirty One,2431,200.png,Universelle,Jens Egger,1
9262,5,16,Four Thousand Six Hundred and Seventeen,4617,29.png,Universelle,Searlas Grenier,1
9263,26,16,Six Thousand Nine Hundred and Fifty Six,6956,134.png,Universelle,Searlas Grenier,1
9264,8,9,Seven Thousand Nine Hundred and Eighty,7980,43.png,Universelle,Maria Kalb,1
9265,36,12,Nine Thousand Two Hundred and Seventy Five,9275,183.png,Universelle,Marcel Achen,1
9266,7,12,Six Thousand Two Hundred and Fifty,6250,35.png,Universelle,Marcel Achen,1
9267,11,37,Seven Thousand Four Hundred and Eight,7408,57.png,Universelle,Eva Davies,1
9268,2,23,Seven Thousand Eight Hundred and Seven,7807,12.png,Universelle,Thérèse Fortier,1
9269,41,18,Nine Thousand Six Hundred and Forty Nine,9649,208.png,Universelle,Edmee Pelletier,1
9270,16,17,Six Thousand Nine Hundred and Seventy Seven,6977,82.png,Universelle,Yolette Cloutier,1
9271,0,18,One Thousand Two Hundred and Sixteen,1216,0.png,Universelle,Edmee Pelletier,1
9272,15,14,Seven Hundred and Four,704,76.png,Universelle,Renata Lukic,1
9273,39,14,Sixty Six,66,195.png,Universelle,Renata Lukic,1
9274,8,5,One Thousand Six Hundred and Eleven,1611,43.png,Universelle,Fawwaz Zuhayr Mustafa,1
9275,9,29,Eight Thousand Three Hundred and Forty Nine,8349,46.png,Universelle,Hayden Bruce,1
9276,29,20,One Thousand Three Hundred and Eighty Eight,1388,147.png,Universelle,Seymour Patenaude,1
9277,8,14,Eight Hundred and Six,806,44.png,Universelle,Renata Lukic,1
9278,33,18,One Thousand One Hundred and Eighty Nine,1189,165.png,Universelle,Edmee Pelletier,1
9279,3,3,One Thousand Six Hundred and Eighty Nine,1689,15.png,Universelle,Jiang Li Tao,1
9280,22,17,Five Thousand Four Hundred and Four,5404,112.png,Universelle,Yolette Cloutier,1
9281,8,11,Two Thousand Five Hundred and Seventy Five,2575,41.png,Universelle,Jens Egger,1
9282,9,4,One Thousand Two Hundred and Forty,1240,49.png,Universelle,Wafiyah Nashwa Wasem,1
9283,1,29,Two Thousand Eight Hundred and Thirty Six,2836,6.png,Universelle,Hayden Bruce,1
9284,15,25,Two Thousand Two Hundred and Fifty Eight,2258,77.png,Universelle,Fleurette Coudert,1
9285,17,38,Two Thousand Two Hundred and Thirty One,2231,87.png,Universelle,Freddie Reid,1
9286,6,6,One Thousand Eight Hundred and Seventy Two,1872,34.png,Universelle,Abdul Qais Khouri,1
9287,9,13,Eight Thousand One Hundred and Seventy Six,8176,48.png,Universelle,Petra Kovacic,1
9288,7,43,Three Thousand One Hundred and Twelve,3112,37.png,Universelle,Aruna Bekx,1
9289,39,36,Eight Thousand and One,8001,198.png,Universelle,Thomas Chapman,1
9290,23,16,Two Thousand Five Hundred and Three,2503,118.png,Universelle,Searlas Grenier,1
9291,20,1,Five Hundred and Eighteen,518,102.png,Universelle,Emily D. Short,1
9292,33,17,Five Thousand One Hundred and Forty Two,5142,167.png,Universelle,Yolette Cloutier,1
9293,2,25,Five Thousand One Hundred and Twenty Two,5122,10.png,Universelle,Fleurette Coudert,1
9294,35,35,Four Thousand Four Hundred and Thirty,4430,175.png,Universelle,Elliot Humphreys,1
9295,19,30,Five Thousand Seven Hundred and Eighty Four,5784,95.png,Universelle,Jodie Holden,1
9296,8,11,Two Thousand One Hundred and Thirty Five,2135,41.png,Universelle,Jens Egger,1
9297,40,28,Seven Thousand Five Hundred and Eighty Nine,7589,201.png,Universelle,Chapin Auger,1
9298,18,19,Eight Thousand Six Hundred and Thirty Nine,8639,92.png,Universelle,Françoise Lapierre,1
9299,2,17,Two Thousand Six Hundred,2600,10.png,Universelle,Yolette Cloutier,1
9300,20,41,Seven Thousand Four Hundred and Eleven,7411,100.png,Universelle,Germa de Geus,1
9301,29,33,Eight Thousand Nine Hundred and Ninety,8990,149.png,Universelle,Eleanor Freeman,1
9302,23,38,Three Hundred and Seven,307,116.png,Universelle,Freddie Reid,1
9303,3,19,Eight Thousand Four Hundred and Nine,8409,16.png,Universelle,Françoise Lapierre,1
9304,19,15,Six Thousand Two Hundred and Eighty Six,6286,98.png,Universelle,Milenko Tkalcic,1
9305,9,30,Two Thousand Three Hundred and Six,2306,48.png,Universelle,Jodie Holden,1
9306,23,39,Six Thousand and Ninety Two,6092,115.png,Universelle,Katie Connor,1
9307,41,38,One Thousand and Eighty Seven,1087,208.png,Universelle,Freddie Reid,1
9308,3,42,Two Hundred and Twenty Seven,227,16.png,Universelle,Brady Jamin,1
9309,20,6,Five Thousand Eight Hundred and Three,5803,103.png,Universelle,Abdul Qais Khouri,1
9310,17,4,Eight Thousand Seven Hundred and Sixty Six,8766,86.png,Universelle,Wafiyah Nashwa Wasem,1
9311,17,9,One Thousand Nine Hundred and Thirty Four,1934,85.png,Universelle,Maria Kalb,1
9312,27,26,Three Thousand Seven Hundred and Thirty Two,3732,135.png,Universelle,Sidney Lapointe,1
9313,24,19,Six Hundred and Twenty Eight,628,123.png,Universelle,Françoise Lapierre,1
9314,39,34,Four Thousand Two Hundred and Fifty Nine,4259,195.png,Universelle,Holly Martin,1
9315,24,2,Five Thousand Five Hundred and Eighty,5580,121.png,Universelle,Chi Hsiao,1
9316,22,22,Six Thousand One Hundred and Twenty Seven,6127,114.png,Universelle,Eglantine Forest,1
9317,36,1,Five Thousand Five Hundred and Eighty Six,5586,180.png,Universelle,Emily D. Short,1
9318,30,4,Five Thousand Eight Hundred and Five,5805,154.png,Universelle,Wafiyah Nashwa Wasem,1
9319,32,27,One Thousand Three Hundred and Twenty Eight,1328,164.png,Universelle,Colette Monjeau,1
9320,2,19,Three Thousand Three Hundred and Sixteen,3316,10.png,Universelle,Françoise Lapierre,1
9321,38,30,Two Thousand Four Hundred and Eleven,2411,193.png,Universelle,Jodie Holden,1
9322,35,2,Five Thousand Nine Hundred and Twenty,5920,176.png,Universelle,Chi Hsiao,1
9323,19,16,Six Thousand Two Hundred and Eleven,6211,96.png,Universelle,Searlas Grenier,1
9324,14,8,Five Hundred and Thirty Six,536,70.png,Universelle,Steffen Krueger,1
9325,11,26,Seven Thousand One Hundred and Ninety One,7191,58.png,Universelle,Sidney Lapointe,1
9326,10,14,Two Hundred and Eighty Six,286,50.png,Universelle,Renata Lukic,1
9327,17,1,Seven Thousand One Hundred and Twenty Five,7125,88.png,Universelle,Emily D. Short,1
9328,13,37,Seven Thousand Four Hundred and Fifty Five,7455,67.png,Universelle,Eva Davies,1
9329,29,34,Seven Thousand One Hundred and Ninety Seven,7197,146.png,Universelle,Holly Martin,1
9330,3,21,Three Thousand Six Hundred and Ninety Two,3692,17.png,Universelle,David Corbeil,1
9331,26,30,Six Thousand and Ninety Four,6094,133.png,Universelle,Jodie Holden,1
9332,10,43,Four Hundred and Fifty Four,454,54.png,Universelle,Aruna Bekx,1
9333,1,16,Six Thousand Three Hundred and Fourteen,6314,8.png,Universelle,Searlas Grenier,1
9334,32,43,Seven Thousand Seven Hundred and Thirty Six,7736,164.png,Universelle,Aruna Bekx,1
9335,40,24,One Thousand and Twenty Two,1022,200.png,Universelle,Clarice Blanc,1
9336,33,8,Two Thousand Five Hundred and Ninety,2590,168.png,Universelle,Steffen Krueger,1
9337,37,7,Five Thousand Eight Hundred and Sixty Seven,5867,186.png,Universelle,Hasna Bahiyaa Amari,1
9338,17,29,Eight Thousand Four Hundred and Sixty Seven,8467,86.png,Universelle,Hayden Bruce,1
9339,7,2,Three Thousand Seven Hundred and Fifty Eight,3758,38.png,Universelle,Chi Hsiao,1
9340,39,21,Six Thousand Five Hundred and Twenty Five,6525,197.png,Universelle,David Corbeil,1
9341,19,7,Seven Thousand One Hundred and Thirty,7130,96.png,Universelle,Hasna Bahiyaa Amari,1
9342,40,11,Eight Thousand Six Hundred and Thirty Three,8633,204.png,Universelle,Jens Egger,1
9343,37,34,Eight Thousand Five Hundred and Ninety Four,8594,186.png,Universelle,Holly Martin,1
9344,36,4,Eight Hundred and Sixty Six,866,183.png,Universelle,Wafiyah Nashwa Wasem,1
9345,37,14,One Thousand Nine Hundred and Sixty Seven,1967,187.png,Universelle,Renata Lukic,1
9346,7,13,Nine Thousand Three Hundred and Thirty,9330,37.png,Universelle,Petra Kovacic,1
9347,31,23,Nine Thousand and Six,9006,156.png,Universelle,Thérèse Fortier,1
9348,0,14,Four Thousand One Hundred and Ninety Three,4193,0.png,Universelle,Renata Lukic,1
9349,12,34,Nine Thousand Eight Hundred and Fifty,9850,62.png,Universelle,Holly Martin,1
9350,5,39,Eight Thousand Eight Hundred and Seventy Six,8876,26.png,Universelle,Katie Connor,1
9351,25,33,Seven Thousand and Seventy Three,7073,127.png,Universelle,Eleanor Freeman,1
9352,34,39,Four Thousand Six Hundred and Seventeen,4617,171.png,Universelle,Katie Connor,1
9353,18,21,Six Thousand Six Hundred and Thirty Nine,6639,91.png,Universelle,David Corbeil,1
9354,1,36,Five Thousand Six Hundred and Ninety Two,5692,8.png,Universelle,Thomas Chapman,1
9355,6,17,Nine Thousand Seven Hundred and Thirty Two,9732,34.png,Universelle,Yolette Cloutier,1
9356,28,8,Three Thousand Six Hundred and Nineteen,3619,141.png,Universelle,Steffen Krueger,1
9357,18,7,Four Thousand Eight Hundred and Seventy Two,4872,94.png,Universelle,Hasna Bahiyaa Amari,1
9358,27,36,Nine Thousand Four Hundred and Two,9402,136.png,Universelle,Thomas Chapman,1
9359,41,36,Two Hundred and Sixteen,216,206.png,Universelle,Thomas Chapman,1
9360,36,20,Three Thousand Seven Hundred and Fifty Five,3755,183.png,Universelle,Seymour Patenaude,1
9361,29,37,Nine Hundred and Three,903,147.png,Universelle,Eva Davies,1
9362,33,0,One Thousand Four Hundred and Ninety Six,1496,166.png,Universelle,Ethel M. Bryson,1
9363,12,38,Nine Thousand Three Hundred and Seventy Four,9374,63.png,Universelle,Freddie Reid,1
9364,13,43,Six Thousand Five Hundred and Thirty One,6531,67.png,Universelle,Aruna Bekx,1
9365,42,12,Eight Thousand and Seventy Six,8076,213.png,Universelle,Marcel Achen,1
9366,10,17,Nine Thousand Six Hundred and Ninety Six,9696,54.png,Universelle,Yolette Cloutier,1
9367,27,5,Five Thousand Eight Hundred and Ninety,5890,138.png,Universelle,Fawwaz Zuhayr Mustafa,1
9368,39,33,Five Thousand Six Hundred and Twenty Three,5623,197.png,Universelle,Eleanor Freeman,1
9369,43,26,Eight Thousand Eight Hundred and Thirteen,8813,217.png,Universelle,Sidney Lapointe,1
9370,35,27,Five Thousand Three Hundred and Sixty Three,5363,177.png,Universelle,Colette Monjeau,1
9371,36,3,One Thousand Four Hundred and Three,1403,181.png,Universelle,Jiang Li Tao,1
9372,43,9,One Thousand Six Hundred and One,1601,218.png,Universelle,Maria Kalb,1
9373,36,7,Four Thousand Two Hundred and Eighty Seven,4287,181.png,Universelle,Hasna Bahiyaa Amari,1
9374,14,6,One Thousand One Hundred and Seventeen,1117,74.png,Universelle,Abdul Qais Khouri,1
9375,25,19,Two Thousand One Hundred and Sixty Four,2164,129.png,Universelle,Françoise Lapierre,1
9376,8,11,One Thousand Eight Hundred and Forty Three,1843,41.png,Universelle,Jens Egger,1
9377,26,7,Three Thousand Two Hundred and Twenty Nine,3229,132.png,Universelle,Hasna Bahiyaa Amari,1
9378,16,7,One Thousand and Thirty Six,1036,83.png,Universelle,Hasna Bahiyaa Amari,1
9379,33,42,Eight Thousand Three Hundred and Eighteen,8318,168.png,Universelle,Brady Jamin,1
9380,0,3,Eight Thousand Five Hundred and Sixteen,8516,1.png,Universelle,Jiang Li Tao,1
9381,36,12,Nine Thousand Two Hundred and Five,9205,180.png,Universelle,Marcel Achen,1
9382,14,20,Five Thousand and Twenty Four,5024,74.png,Universelle,Seymour Patenaude,1
9383,35,7,Two Thousand Six Hundred and Seventy Eight,2678,179.png,Universelle,Hasna Bahiyaa Amari,1
9384,38,10,Three Hundred and Twenty Four,324,192.png,Universelle,Stephan Schwab,1
9385,19,0,Five Thousand One Hundred and Twenty Nine,5129,96.png,Universelle,Ethel M. Bryson,1
9386,2,35,Five Thousand Eight Hundred and Fifty Five,5855,14.png,Universelle,Elliot Humphreys,1
9387,1,18,Five Thousand Two Hundred and Ninety,5290,9.png,Universelle,Edmee Pelletier,1
9388,34,23,One Thousand and Ninety Three,1093,174.png,Universelle,Thérèse Fortier,1
9389,36,28,Six Thousand One Hundred and Fifty One,6151,184.png,Universelle,Chapin Auger,1
9390,25,32,Three Thousand Four Hundred and Twenty Nine,3429,129.png,Universelle,Chelsea Watson,1
9391,16,12,One Hundred and Ninety Seven,197,82.png,Universelle,Marcel Achen,1
9392,16,7,Seven Thousand Three Hundred and Seventy Five,7375,81.png,Universelle,Hasna Bahiyaa Amari,1
9393,42,14,Seven Thousand Eight Hundred and Ninety,7890,211.png,Universelle,Renata Lukic,1
9394,32,5,One Hundred and Sixty Eight,168,162.png,Universelle,Fawwaz Zuhayr Mustafa,1
9395,22,5,Five Thousand Six Hundred and Twelve,5612,114.png,Universelle,Fawwaz Zuhayr Mustafa,1
9396,35,4,Seven Hundred and Seventy Two,772,179.png,Universelle,Wafiyah Nashwa Wasem,1
9397,5,39,Seven Thousand Two Hundred and Twenty Seven,7227,27.png,Universelle,Katie Connor,1
9398,14,10,Nine Thousand Five Hundred and Eighteen,9518,70.png,Universelle,Stephan Schwab,1
9399,21,7,Six Thousand Four Hundred and Fifteen,6415,105.png,Universelle,Hasna Bahiyaa Amari,1
9400,38,32,Eight Thousand Five Hundred and Eighty Five,8585,192.png,Universelle,Chelsea Watson,1
9401,26,3,Two Thousand One Hundred and Eighty Nine,2189,134.png,Universelle,Jiang Li Tao,1
9402,19,12,Eight Thousand Two Hundred and Seventy Three,8273,97.png,Universelle,Marcel Achen,1
9403,34,2,Seven Thousand Nine Hundred and Seven,7907,174.png,Universelle,Chi Hsiao,1
9404,37,26,Nineteen,19,188.png,Universelle,Sidney Lapointe,1
9405,30,12,Eight Thousand Four Hundred and Seventy,8470,153.png,Universelle,Marcel Achen,1
9406,14,9,Eight Thousand One Hundred and Ninety One,8191,73.png,Universelle,Maria Kalb,1
9407,39,25,Nine Thousand One Hundred and Twenty One,9121,197.png,Universelle,Fleurette Coudert,1
9408,21,34,Six Thousand Nine Hundred and Sixty Two,6962,106.png,Universelle,Holly Martin,1
9409,20,1,Two Thousand Six Hundred and Twenty Two,2622,103.png,Universelle,Emily D. Short,1
9410,13,2,Seven Thousand One Hundred and Thirty Eight,7138,65.png,Universelle,Chi Hsiao,1
9411,15,40,Two Thousand Nine Hundred and Seventy Eight,2978,78.png,Universelle,David Howard,1
9412,8,18,Eight Hundred and Ninety Five,895,40.png,Universelle,Edmee Pelletier,1
9413,3,14,Five Thousand Eight Hundred and Fifty Six,5856,15.png,Universelle,Renata Lukic,1
9414,27,4,Eight Thousand Four Hundred and Ninety,8490,137.png,Universelle,Wafiyah Nashwa Wasem,1
9415,0,6,Nine Thousand One Hundred and Ninety Five,9195,3.png,Universelle,Abdul Qais Khouri,1
9416,15,9,Seven Thousand and Ninety Five,7095,75.png,Universelle,Maria Kalb,1
9417,9,40,Two Thousand and Forty Two,2042,49.png,Universelle,David Howard,1
9418,26,6,Eight Thousand One Hundred and Forty Six,8146,134.png,Universelle,Abdul Qais Khouri,1
9419,16,28,Four Thousand Two Hundred and Thirty Six,4236,84.png,Universelle,Chapin Auger,1
9420,16,24,Five Thousand Five Hundred and Sixty,5560,80.png,Universelle,Clarice Blanc,1
9421,27,31,Five Thousand Eight Hundred and Sixty Two,5862,136.png,Universelle,Naomi Grant,1
9422,42,13,Three Thousand Six Hundred and Ninety Nine,3699,210.png,Universelle,Petra Kovacic,1
9423,0,17,Five Thousand Five Hundred and Forty Eight,5548,0.png,Universelle,Yolette Cloutier,1
9424,22,7,Eight Thousand Seven Hundred and Eighty One,8781,111.png,Universelle,Hasna Bahiyaa Amari,1
9425,36,30,Two Thousand Seven Hundred and Three,2703,183.png,Universelle,Jodie Holden,1
9426,29,31,Seven Thousand Eight Hundred and Fifty Five,7855,149.png,Universelle,Naomi Grant,1
9427,30,27,Nine Thousand Eight Hundred and Thirteen,9813,152.png,Universelle,Colette Monjeau,1
9428,5,41,Four Thousand Five Hundred and Thirty Two,4532,26.png,Universelle,Germa de Geus,1
9429,21,4,Seven Thousand Four Hundred and Forty Seven,7447,106.png,Universelle,Wafiyah Nashwa Wasem,1
9430,5,2,Four Thousand and Ninety Nine,4099,28.png,Universelle,Chi Hsiao,1
9431,38,12,Three Thousand Eight Hundred and Seventy Six,3876,190.png,Universelle,Marcel Achen,1
9432,11,20,Eight Thousand Five Hundred and Five,8505,57.png,Universelle,Seymour Patenaude,1
9433,16,32,Four Thousand Eight Hundred and Eighteen,4818,84.png,Universelle,Chelsea Watson,1
9434,3,42,One Thousand Three Hundred and Five,1305,17.png,Universelle,Brady Jamin,1
9435,40,12,Eight Thousand Two Hundred and Four,8204,203.png,Universelle,Marcel Achen,1
9436,28,27,Seven Thousand Five Hundred and Eight,7508,144.png,Universelle,Colette Monjeau,1
9437,21,2,Three Thousand Five Hundred and Thirty Nine,3539,105.png,Universelle,Chi Hsiao,1
9438,2,31,Seven Thousand and Sixteen,7016,10.png,Universelle,Naomi Grant,1
9439,40,39,Five Thousand Five Hundred and Twenty Three,5523,202.png,Universelle,Katie Connor,1
9440,9,34,Five Thousand Five Hundred and Ninety One,5591,47.png,Universelle,Holly Martin,1
9441,9,0,One Hundred and Fifty Eight,158,45.png,Universelle,Ethel M. Bryson,1
9442,19,32,Three Thousand Two Hundred and Thirty Five,3235,98.png,Universelle,Chelsea Watson,1
9443,13,39,Two Hundred,200,66.png,Universelle,Katie Connor,1
9444,10,8,Six Thousand Five Hundred and Fifty Two,6552,54.png,Universelle,Steffen Krueger,1
9445,26,3,Eight Thousand and Sixty,8060,131.png,Universelle,Jiang Li Tao,1
9446,37,0,Eight Thousand Eight Hundred and Fifty Seven,8857,187.png,Universelle,Ethel M. Bryson,1
9447,27,30,Eight Hundred and Forty Seven,847,136.png,Universelle,Jodie Holden,1
9448,30,22,Eight Thousand Three Hundred and Twenty Two,8322,154.png,Universelle,Eglantine Forest,1
9449,24,1,Five Thousand Three Hundred and Ninety Five,5395,124.png,Universelle,Emily D. Short,1
9450,41,21,Seven Hundred and Ninety Two,792,205.png,Universelle,David Corbeil,1
9451,39,4,Four Thousand Nine Hundred and Seventy Eight,4978,196.png,Universelle,Wafiyah Nashwa Wasem,1
9452,29,19,One Thousand and Seventy Seven,1077,145.png,Universelle,Françoise Lapierre,1
9453,16,15,Five Thousand Six Hundred and Twenty Eight,5628,81.png,Universelle,Milenko Tkalcic,1
9454,12,5,Nine Thousand Three Hundred and Forty One,9341,62.png,Universelle,Fawwaz Zuhayr Mustafa,1
9455,11,22,Two Hundred and Twenty,220,58.png,Universelle,Eglantine Forest,1
9456,4,30,Five Thousand Three Hundred and Thirty Four,5334,21.png,Universelle,Jodie Holden,1
9457,34,5,Six Thousand Eight Hundred and Nineteen,6819,171.png,Universelle,Fawwaz Zuhayr Mustafa,1
9458,41,42,Three Thousand Six Hundred and Thirty Three,3633,205.png,Universelle,Brady Jamin,1
9459,24,28,Eight Thousand One Hundred and Ninety Two,8192,120.png,Universelle,Chapin Auger,1
9460,10,5,Three Thousand Three Hundred and Sixty Two,3362,51.png,Universelle,Fawwaz Zuhayr Mustafa,1
9461,20,4,Four Thousand One Hundred and Thirty One,4131,101.png,Universelle,Wafiyah Nashwa Wasem,1
9462,32,35,Nine Hundred and Forty Seven,947,164.png,Universelle,Elliot Humphreys,1
9463,40,18,Nine Thousand and Seventy Six,9076,201.png,Universelle,Edmee Pelletier,1
9464,20,4,Three Thousand Nine Hundred and Sixty,3960,101.png,Universelle,Wafiyah Nashwa Wasem,1
9465,3,29,Three Thousand Five Hundred and Eighteen,3518,18.png,Universelle,Hayden Bruce,1
9466,1,41,Seven Thousand and Seventy Four,7074,9.png,Universelle,Germa de Geus,1
9467,13,19,Seven Thousand Three Hundred and Fifty Five,7355,66.png,Universelle,Françoise Lapierre,1
9468,22,25,Seven Hundred and Twenty Seven,727,113.png,Universelle,Fleurette Coudert,1
9469,13,25,Three Thousand Five Hundred and Eighty One,3581,68.png,Universelle,Fleurette Coudert,1
